Repository Path,Filename,Format,File Size (Bytes),File Size (Formatted),Width,Height,Classification,Is Referenced,Reference Count,Target Recommendation
"floria-svg-icon-system/botanical/fertilizer.svg","fertilizer.svg","Vector (SVG)",288,"288 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/flower.svg","flower.svg","Vector (SVG)",492,"492 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/garden-tools.svg","garden-tools.svg","Vector (SVG)",405,"405 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/plant.svg","plant.svg","Vector (SVG)",365,"365 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/pot.svg","pot.svg","Vector (SVG)",340,"340 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/seedling.svg","seedling.svg","Vector (SVG)",420,"420 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/soil.svg","soil.svg","Vector (SVG)",437,"437 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/sun.svg","sun.svg","Vector (SVG)",408,"408 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/tree.svg","tree.svg","Vector (SVG)",347,"347 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/botanical/watering-can.svg","watering-can.svg","Vector (SVG)",448,"448 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/credit-card.svg","credit-card.svg","Vector (SVG)",342,"342 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/delivery.svg","delivery.svg","Vector (SVG)",392,"392 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/discount.svg","discount.svg","Vector (SVG)",343,"343 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/package.svg","package.svg","Vector (SVG)",354,"354 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/store.svg","store.svg","Vector (SVG)",406,"406 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/commerce/tag.svg","tag.svg","Vector (SVG)",354,"354 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/cart.svg","cart.svg","Vector (SVG)",385,"385 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/categories.svg","categories.svg","Vector (SVG)",461,"461 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/home.svg","home.svg","Vector (SVG)",356,"356 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/location.svg","location.svg","Vector (SVG)",351,"351 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/menu.svg","menu.svg","Vector (SVG)",289,"289 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/notification.svg","notification.svg","Vector (SVG)",378,"378 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/orders.svg","orders.svg","Vector (SVG)",341,"341 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/profile.svg","profile.svg","Vector (SVG)",347,"347 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/search.svg","search.svg","Vector (SVG)",319,"319 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
"floria-svg-icon-system/navigation/wishlist.svg","wishlist.svg","Vector (SVG)",363,"363 B",24,24,"ICON",true,1,"KEEP_IN_REPOSITORY"
